Time,Country Name,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],Adjusted savings: carbon dioxide damage (current US$) [NY.ADJ.DCO2.CD],Adjusted savings: particulate emission damage (current US$) [NY.ADJ.DPEM.CD],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],CO2 emissions from solid fuel consumption (% of total) [EN.ATM.CO2E.SF.ZS],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],"Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]",Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS],Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS],Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS],Methane emissions in energy sector (thousand metric tons of CO2 equivalent) [EN.ATM.METH.EG.KT.CE],Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent) [EN.ATM.NOXE.EG.KT.CE],"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) [EN.ATM.PM25.MC.ZS]",Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]
2014,Argentina,ARG,100,6588168205,707801342.8,4.216360632,2.32155689,3074.702071,1.968264539,29.60793966,4.166726991,87.72240748,13000,1220,98.31406401,31.5762042,9.781399727,356100
2014,Australia,AUS,100,12158785323,290816679,15.7558761,44.18978885,10071.39898,7.500886153,7.405826056,0,93.38683566,33710,3580,27.10551384,14.90671221,9.316900253,593500
2014,Austria,AUT,100,1982163852,219098215.3,7.253383781,18.41485885,8355.841952,14.49948065,66.55738769,0,64.81315647,600,580,93.78567197,81.05686835,35.79090118,74350
2014,Belgium,BEL,100,3148534563,288744475.6,8.043495541,13.09236136,7709.123078,16.67226092,0.408380185,47.13574445,72.65250484,990,640,94.48915243,17.0806411,9.124799728,106460
2014,Bolivia,BOL,90.038729,684126028.4,140497316.5,1.883899311,0,742.5383997,2.295830954,25.71102227,0,84.15328999,3170,190,100,28.00685323,10.76980019,51870
2014,Brazil,BRA,99.650247,17953989268,4192372919,2.499362016,14.53616224,2619.960499,9.857089889,63.22498396,2.603567928,59.10753264,17740,10310,77.11647309,73.08207385,41.82920074,1105900
2014,Canada,CAN,100,18192396823,601582262.8,15.85413843,13.34748055,15588.48715,5.57037556,57.25461666,16.11907499,73.19287432,55770,6410,2.023391521,62.82499222,22.41679955,712310
2014,Chile,CHL,100,2661847503,335802794,4.301488448,31.94163896,3879.67342,10.1305089,32.27650001,0,73.25054383,3400,870,99.15045175,42.40700891,26.94610023,98660
2014,China,CHN,100,3.46E+11,47492877387,7.212791393,75.10046715,3905.317598,4.056659804,18.55249398,2.33928636,87.67043077,723020,47100,99.99995845,22.60915378,12.06140041,11865310
2014,Colombia,COL,97.790938,2916913972,626578716.5,1.699465586,18.32121774,1312.199493,3.132176121,70.90613456,0,76.68569263,16990,530,97.48104423,74.03831068,32.3832016,175230
2014,Denmark,DNK,100,1115406777,175579254.9,6.336521381,25.54389541,5858.801536,55.85384042,0.04660701,0,67.70455812,380,390,82.83430732,55.90044743,30.22839928,48690
2014,Ecuador,ECU,98.976067,1553104292,306785804.9,2.582775445,0,1376.393633,2.036450405,47.13868433,0,86.88466036,660,210,99.63520089,49.17513473,12.1782999,67820
2014,El Salvador,SLV,95.125416,211506495.8,71244527.56,1.046841968,0,937.0744722,32.09063153,27.60726338,0,48.42958734,550,110,100,59.69789491,23.94799995,12260
2014,Ethiopia,ETH,27.2,417276250.8,490491003.8,0.125695423,8.713957826,69.1987454,5.244351025,94.72411981,0,6.56980663,28040,6070,100,99.96847084,91.24919891,155660
2014,Finland,FIN,100,1589383702,39704335.41,8.451871936,37.29758449,15249.98938,18.90621788,19.6742738,34.62860164,42.18252679,290,550,0,38.58049167,41.24909973,57000
2014,France,FRA,100,10602032964,1339667573,4.592376829,11.34189505,6939.943525,5.193969496,11.26193545,78.23558829,46.22592306,2880,3710,87.84524972,16.45590494,13.35340023,424130
2014,Germany,DEU,100,24241186444,2796947502,9.10678233,41.81580306,7035.482975,22.98074728,3.149349292,15.61715155,79.71052694,11950,5400,95.72529588,26.13009657,14.02470016,843660
